epoch,map,map_05,train loss,train cls loss,train box reg loss,train obj loss,train rpn loss
1,0.16661495969932977,0.39624088166437677,0.23058101534843445,0.23692124,0.15602717,0.016124489,0.0044977358
2,0.4388816916194748,0.7399988368489436,0.09941331297159195,0.08300669,0.10396216,0.0047494625,0.0031145203
3,0.5274723832320879,0.8195232027864114,0.10238585621118546,0.0580261,0.07496564,0.0024605507,0.0023295763
4,0.5757293297212367,0.8655381897317261,0.1000029444694519,0.0468817,0.06387321,0.0017338509,0.0020143122
5,0.6064862516888512,0.8925331214786559,0.06573944538831711,0.039862037,0.05753802,0.0012715223,0.001817856
6,0.6123535717668132,0.9063477101532907,0.07822702825069427,0.0345509,0.05224737,0.000991706,0.001659318
